                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1231,                 2.1237,                 1.3635,                 1.0332,                0.21112,                0.12401,                 0.1218,                 0.0613,                0.21298,                0.11136,                0.10316,                0.04662,                  1.979,                  4.074,                 2.9877,                 1.4306,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.1291,                  1.999,                 1.4181,                 1.0319,                0.21112,                0.12401,                 0.1218,                 0.0613,                0.21298,                0.11136,                0.10316,                0.04662,                  1.979,                  4.074,                 2.9877,                 1.4306,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.1604,                 2.0997,                 1.2986,                 1.0405,                0.19621,                0.11702,                0.12184,                0.06339,                0.19894,                  0.116,                0.10495,                0.04681,                 1.9576,                 4.0941,                 2.9519,                 1.4217,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.0797,                 1.8177,                 1.2165,                 1.0365,                0.19621,                0.11702,                0.12184,                0.06339,                0.19894,                  0.116,                0.10495,                0.04681,                 1.9576,                 4.0941,                 2.9519,                 1.4217,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.0724,                 1.9606,                  1.186,                 1.0201,                0.20834,                0.09911,                 0.1306,                0.07305,                0.21585,                0.10155,                0.11532,                0.05294,                 1.9265,                  4.101,                 2.9421,                 1.4091,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.1339,                 2.0399,                 1.2637,                 1.0002,                0.20834,                0.09911,                 0.1306,                0.07305,                0.21585,                0.10155,                0.11532,                0.05294,                 1.9265,                  4.101,                 2.9421,                 1.4091,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.3582,                 2.3275,                 1.4506,                 1.0639,                0.29076,                 0.1066,                0.13775,                0.07638,                0.21274,                0.10374,                0.11619,                0.05382,                 1.9665,                 4.1094,                 2.8665,                 1.4155,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.0621,                 2.1322,                 1.1225,                0.99482,                0.29076,                 0.1066,                0.13775,                0.07638,                0.21274,                0.10374,                0.11619,                0.05382,                 1.9665,                 4.1094,                 2.8665,                 1.4155,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.1561,                  2.055,                 1.3945,                 1.0261,                 0.2465,                0.11403,                0.14678,                0.07886,                 0.2102,                0.11192,                0.12824,                0.05585,                 2.0255,                 4.1258,                  2.758,                 1.4357,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.1337,                 2.1281,                   1.26,                 1.0604,                 0.2465,                0.11403,                0.14678,                0.07886,                 0.2102,                0.11192,                0.12824,                0.05585,                 2.0255,                 4.1258,                  2.758,                 1.4357,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.1184,                 2.0835,                 1.2992,                  1.008,                0.26889,                0.12709,                0.14156,                 0.0731,                0.21709,                0.13144,                0.13488,                0.05924,                 2.0389,                 4.0117,                 2.7424,                 1.4512,             0.00036005,             0.00036005,             0.00036005
                     63,                 1.2501,                 2.1413,                 1.3732,                 1.0726,                0.26889,                0.12709,                0.14156,                 0.0731,                0.21709,                0.13144,                0.13488,                0.05924,                 2.0389,                 4.0117,                 2.7424,                 1.4512,             0.00035106,             0.00035106,             0.00035106
