                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1968,                 2.2356,                 1.3823,                 1.0608,                0.31401,                0.21459,                0.21309,                0.13013,                0.28113,                 0.1982,                0.18965,                0.10521,                  1.986,                 3.5373,                 2.4778,                 1.4097,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.2394,                 2.3199,                 1.3472,                 1.0732,                0.39031,                0.19994,                 0.2273,                0.13729,                0.28727,                0.19666,                0.20206,                0.11029,                  1.946,                 3.5262,                 2.4275,                  1.378,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.1901,                 2.2191,                 1.3481,                  1.061,                0.39031,                0.19994,                 0.2273,                0.13729,                0.28727,                0.19666,                0.20206,                0.11029,                  1.946,                 3.5262,                 2.4275,                  1.378,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.2191,                 2.2917,                 1.3587,                 1.0645,                0.38903,                0.20777,                0.23119,                0.14495,                0.32133,                0.20911,                0.20561,                0.11301,                 1.9392,                 3.5175,                 2.3833,                 1.3574,             0.00028806,             0.00028806,             0.00028806
                     71,                 1.2118,                 2.3485,                 1.3751,                 1.0622,                0.38903,                0.20777,                0.23119,                0.14495,                0.32133,                0.20911,                0.20561,                0.11301,                 1.9392,                 3.5175,                 2.3833,                 1.3574,             0.00027906,             0.00027906,             0.00027906
                     72,                 1.2189,                 2.3962,                 1.3777,                 1.0583,                0.39181,                0.20556,                0.23311,                0.14757,                0.32808,                0.21819,                0.21472,                 0.1162,                 1.9127,                 3.5758,                 2.3689,                 1.3348,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.1913,                  2.327,                 1.3088,                 1.0313,                0.39181,                0.20556,                0.23311,                0.14757,                0.32808,                0.21819,                0.21472,                 0.1162,                 1.9127,                 3.5758,                 2.3689,                 1.3348,             0.00026106,             0.00026106,             0.00026106
                     74,                 1.1975,                  2.325,                 1.3168,                  1.056,                0.48267,                0.19965,                0.23676,                0.14571,                0.33694,                0.21839,                 0.2105,                0.11588,                 1.8954,                 3.5812,                 2.3451,                 1.3286,             0.00025207,             0.00025207,             0.00025207
                     75,                 1.1713,                 2.2301,                 1.2824,                 1.0502,                0.48267,                0.19965,                0.23676,                0.14571,                0.33694,                0.21839,                 0.2105,                0.11588,                 1.8954,                 3.5812,                 2.3451,                 1.3286,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.2415,                 2.3935,                 1.3471,                  1.073,                 0.4387,                0.20895,                0.23864,                0.14857,                0.40393,                0.19926,                0.21715,                0.11796,                 1.9073,                 3.6038,                 2.3838,                 1.3426,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.1538,                 2.2394,                 1.2877,                 1.0617,                 0.4387,                0.20895,                0.23864,                0.14857,                0.40393,                0.19926,                0.21715,                0.11796,                 1.9073,                 3.6038,                 2.3838,                 1.3426,             0.00022507,             0.00022507,             0.00022507
                     78,                 1.1475,                 2.2304,                 1.2412,                 1.0456,                0.37996,                0.20719,                0.22981,                0.14168,                0.33181,                0.19573,                0.21246,                0.11822,                 1.9249,                 3.5497,                  2.438,                 1.3654,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.2221,                 2.3632,                 1.3287,                 1.0573,                0.37996,                0.20719,                0.22981,                0.14168,                0.33181,                0.19573,                0.21246,                0.11822,                 1.9249,                 3.5497,                  2.438,                 1.3654,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.1845,                 2.2721,                 1.2521,                 1.0562,                0.38114,                0.20519,                0.23158,                0.13974,                0.35028,                 0.1923,                 0.2123,                0.11411,                 1.9196,                 3.5487,                 2.4295,                 1.3647,             0.00019807,             0.00019807,             0.00019807
                     81,                 1.1806,                 2.2294,                 1.2112,                  1.036,                0.38114,                0.20519,                0.23158,                0.13974,                0.35028,                 0.1923,                 0.2123,                0.11411,                 1.9196,                 3.5487,                 2.4295,                 1.3647,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.1218,                 2.0884,                 1.1753,                 1.0255,                0.39473,                0.20653,                0.23776,                0.14157,                0.35864,                0.19186,                0.21143,                0.11407,                 1.9196,                 3.5486,                  2.425,                 1.3513,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.1774,                 2.3045,                 1.2868,                 1.0505,                0.39473,                0.20653,                0.23776,                0.14157,                0.35864,                0.19186,                0.21143,                0.11407,                 1.9196,                 3.5486,                  2.425,                 1.3513,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.1342,                 2.1714,                  1.212,                 1.0417,                0.38937,                0.21342,                0.23573,                0.14265,                0.36026,                0.19652,                0.20075,                0.10861,                 1.9031,                 3.5727,                 2.3914,                 1.3353,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.1775,                  2.247,                 1.2378,                 1.0321,                0.38937,                0.21342,                0.23573,                0.14265,                0.36026,                0.19652,                0.20075,                0.10861,                 1.9031,                 3.5727,                 2.3914,                 1.3353,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.1368,                 2.2545,                 1.2243,                 1.0353,                0.41272,                0.21329,                 0.2406,                0.14178,                0.39976,                0.19652,                0.20301,                0.11122,                 1.8911,                 3.6085,                 2.3453,                 1.3176,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.1246,                 2.1621,                 1.1975,                 1.0346,                0.41272,                0.21329,                 0.2406,                0.14178,                0.39976,                0.19652,                0.20301,                0.11122,                 1.8911,                 3.6085,                 2.3453,                 1.3176,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.0937,                  2.046,                 1.1924,                 1.0454,                 0.4115,                0.21464,                0.24499,                0.14617,                 0.4071,                0.19652,                0.20642,                0.11272,                 1.8865,                 3.5873,                 2.3086,                  1.316,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.1419,                 2.1875,                 1.2222,                 1.0431,                 0.4115,                0.21464,                0.24499,                0.14617,                 0.4071,                0.19652,                0.20642,                0.11272,                 1.8865,                 3.5873,                 2.3086,                  1.316,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.1202,                 2.1251,                 1.2075,                 1.0253,                0.46028,                0.21287,                0.24651,                 0.1513,                0.34388,                 0.1847,                0.20308,                  0.112,                 1.8844,                 3.5713,                 2.2983,                 1.3165,             0.00010808,             0.00010808,             0.00010808
                     91,                 1.2341,                 2.5194,                 1.5733,                 1.0828,                0.46028,                0.21287,                0.24651,                 0.1513,                0.34388,                 0.1847,                0.20308,                  0.112,                 1.8844,                 3.5713,                 2.2983,                 1.3165,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.3256,                 2.6408,                 1.7848,                 1.1215,                0.41368,                 0.2111,                0.23956,                0.14779,                0.32315,                0.19065,                0.19999,                0.11129,                 1.8861,                 3.6083,                 2.2715,                 1.3163,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.2405,                 2.4932,                 1.5576,                  1.071,                0.41368,                 0.2111,                0.23956,                0.14779,                0.32315,                0.19065,                0.19999,                0.11129,                 1.8861,                 3.6083,                 2.2715,                 1.3163,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.2595,                 2.4776,                 1.5457,                 1.0849,                0.41622,                0.20938,                0.24141,                0.14536,                0.29807,                0.20698,                0.20101,                0.11205,                 1.8798,                 3.6304,                  2.238,                 1.3107,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.2876,                 2.6012,                 1.6939,                 1.0967,                0.41622,                0.20938,                0.24141,                0.14536,                0.29807,                0.20698,                0.20101,                0.11205,                 1.8798,                 3.6304,                  2.238,                 1.3107,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.1965,                 2.3842,                 1.4505,                 1.0599,                 0.4253,                0.21726,                 0.2348,                0.14402,                0.33395,                0.19727,                0.19936,                0.11298,                 1.8803,                 3.6455,                 2.2206,                  1.317,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 1.2873,                 2.5684,                 1.6542,                 1.0963,                 0.4253,                0.21726,                 0.2348,                0.14402,                0.33395,                0.19727,                0.19936,                0.11298,                 1.8803,                 3.6455,                 2.2206,                  1.317,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.2923,                 2.6509,                 1.6513,                 1.0849,                0.43438,                0.22366,                0.23597,                0.14331,                 0.3412,                 0.2019,                0.19784,                0.10952,                 1.8904,                 3.6871,                 2.2093,                 1.3321,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.2469,                 2.4337,                 1.5387,                 1.1059,                0.43438,                0.22366,                0.23597,                0.14331,                 0.3412,                 0.2019,                0.19784,                0.10952,                 1.8904,                 3.6871,                 2.2093,                 1.3321,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                  1.259,                  2.557,                 1.5656,                 1.0609,                0.36672,                0.22333,                0.23155,                0.14081,                0.34068,                0.20983,                 0.2035,                0.11011,                 1.9035,                 3.6803,                 2.2041,                 1.3506,             1.8089e-05,             1.8089e-05,             1.8089e-05
