                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6092,                 2.6182,                 1.4538,                 1.0556,                0.04638,                0.21968,                0.08293,                0.03401,                 0.0407,                0.21605,                0.08791,                 0.0315,                 2.7683,                 4.0473,                 2.8864,                  1.411,             0.00064464,             0.00064464,             0.00064464
                     35,                 1.3365,                 2.4286,                  1.347,                 1.0281,                 0.0451,                0.20733,                0.07453,                0.03568,                0.03819,                 0.2037,                0.07224,                0.02222,                 2.7189,                 4.1099,                 2.8892,                 1.3728,             0.00065412,             0.00065412,             0.00065412
                     36,                 1.5749,                  2.455,                 1.3286,                 1.0569,                0.04711,                0.21968,                0.08357,                0.03809,                0.03864,                0.20988,                0.07013,                0.02645,                 2.7345,                 4.1997,                 2.8998,                 1.4076,             0.00066303,             0.00066303,             0.00066303
                     37,                 1.4474,                 2.6231,                 1.3387,                 1.0281,                0.04711,                0.21968,                0.08357,                0.03809,                0.03864,                0.20988,                0.07013,                0.02645,                 2.7345,                 4.1997,                 2.8998,                 1.4076,             0.00067138,             0.00067138,             0.00067138
                     38,                 1.3808,                 2.2341,                 1.2661,                 1.0159,                0.04792,                0.21968,                0.08383,                0.03483,                0.03505,                0.18519,                0.05583,                0.01617,                 2.8419,                 4.1435,                 2.9352,                  1.482,             0.00067917,             0.00067917,             0.00067917
                     39,                 1.5333,                 2.6266,                 1.2273,                0.99628,                0.04687,                0.21968,                0.08092,                0.03218,                0.04312,                 0.2284,                 0.0704,                0.01842,                   2.89,                 4.1253,                 2.9696,                 1.4846,             0.00068639,             0.00068639,             0.00068639
                     40,                 1.5797,                  2.692,                 1.3914,                 1.0501,                0.04687,                0.21968,                0.08092,                0.03218,                0.04312,                 0.2284,                 0.0704,                0.01842,                   2.89,                 4.1253,                 2.9696,                 1.4846,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3973,                 2.3586,                 1.3215,                 1.0533,                0.04638,                0.21968,                0.07792,                 0.0335,                0.04779,                0.25309,                0.08253,                0.02977,                  2.893,                 4.1493,                 2.9472,                 1.4978,             0.00069912,             0.00069912,             0.00069912
                     42,                 1.5275,                 2.5528,                 1.3977,                 1.0429,                0.04602,                0.21968,                0.08339,                0.03583,                0.04514,                0.24074,                 0.0902,                0.03172,                 2.8315,                 4.1165,                 2.8624,                 1.4691,             0.00070464,             0.00070464,             0.00070464
                     43,                 1.4206,                 2.3655,                 1.3198,                 1.0183,                0.04602,                0.21968,                0.08339,                0.03583,                0.04514,                0.24074,                 0.0902,                0.03172,                 2.8315,                 4.1165,                 2.8624,                 1.4691,              0.0007096,              0.0007096,              0.0007096
